Name,Borough,Total,Location,Landlord,Developer,Architect,ITLA,Ballot Status,Planning Status,Image
Marks Gate estate,barkinganddagenham,500,"[51.581715,0.138200]",Barking and Dagenham Council,BeFirst,,,Required,Pending,estates/src/images/padnall.png
,
Mansell Street estate,cityoflondon,249,"[51.512782,-0.073840]",Guiness Housing Association,,,,Required,,estates/src/images/mansell2.jpg
,
Main Avenue estate,enfield,200,"[51.646181,-0.065205]",Enfield Council,,,,,,estates/src/images/mainavenue.png
,
Love Lane estate,haringey,297,"[51.604415,-0.069012]",Haringey Council,Lendlease,,Damian Tissier Microfish Communications,Approved,Pending,estates/src/images/love_lane5.jpg
,
Lisson Green estate,westminster,500,"[51.525955,-0.167721]",Westminster Council,,,,Required,Pending,estates/src/images/lissongreen3.jpg
,
Ledbury estate,southwark,224,"[51.481221,-0.061766]",Southwark Council,,Karakusavic Carson,Open Communities,Approved,Approved,estates/src/images/ledbury3.jpg
,
Leabank View estate,haringey,60,"[51.578949,-0.062836]",Haringey Council,,,,,Pending,estates/src/images/leabank.jpg
,
Lansbury (south) estate,towerhamlets,169,"[51.511716,-0.015573]",Poplar HARCA,,,,Exempt,Approved,estates/src/images/crisp1.png
,
Lambourne Close estate,ealing,100,"[51.503159,-0.335400]",LB Ealing,,,,,,estates/src/images/lambourneclose.png
,
Ladderswood estate,enfield,100,"[51.613312,-0.137395]",Enfield Council,Mulalley/One Housing Group,VZDV,,Exempt,Approved,estates/src/images/lwood3.png
,
Kingsbridge estate,towerhamlets,134,"[51.493200,-0.025874]",One Housing Group,,Howarth Tompkins,Mike Tyrell,Approved,Pending,estates/src/images/kbridge.jpg
,
Juniper Crescent and Gilbeys Yard estate,camden,200,"[51.542436,-0.150620]",One Housing Group,Countryside Properties,PRP,Communities First,Approved,Pending,estates/src/images/jp5.jpg
,
Joyce Avenue and Snells Park estates,enfield,795,"[51.612022,-0.066698]",Enfield Council,LB Enfield,,Source Partnership,Approved,Approved,estates/src/images/jsnells.jpg
,
Islip Manor estate,ealing,300,"[51.547140,-0.381975]",LB Ealing,,,,,,estates/src/images/islipmanor.png
,
Ibscott Close estate,barkinganddagenham,150,"[51.53991314131394, 0.16418543109642664]",Barking and Dagenham Council,BeFirst?,,,Exempt?,,estates/src/images/ibscottclose.png
,
High Path estate,merton,608,"[51.414691,-0.190444]",Clarion,Clarion,PRP,,Exempt,Approved,estates/src/images/highpath2.jpg
,
High Lane estate,ealing,264,"[51.519802,-0.344496]",Ealing Council,Rydon,Pollard Thomas Edwards,,Approved,Approved,estates/src/images/highlane2.png
,
Heston Grange estate,hounslow,123,"[51.488230, -0.377550]",MTVH,MTVH,HTA,,Approved,Pending,estates/src/images/hestongrange.png
,
Havelock estate,ealing,500,"[51.500392,-0.370627]",Ealing Council,Catalyst Group,Pollard Thomas Edwards,,Required,Approved,estates/src/images/havelock4.jpg
,
Harts Lane estate,barkinganddagenham,500,"[51.541150, 0.071866]",Barking and Dagenham Council,,,,,,estates/src/images/hartslane.png
,
Ham Close estate,richmond,192,"[51.437734,-0.316239]",Richmond Housing Partnership,HILL,BPTW,,Exempt,Pending,estates/src/images/hcl1.jpg
,
Green Man Lane estate,ealing,464,"[51.511542,-0.325448]",Ealing Council,Real/A2Dominion,Conran and Partners,,Exempt,Approved,estates/src/images/gman3.jpg
,
Grange Farm estate,harrow,282,"[51.568998,-0.350978]",LB Harrow,Higgins/Wates,Hawkins Brown,One Enterprise,Exempt,Approved,estates/src/images/gfarm1.png
,
Grange Court estate,ealing,150,"[51.537050,-0.397191]",LB Ealing,,,,,,estates/src/images/grangecourt.png
,
Grahame Park estate,barnet,1314,"[51.602271,-0.244782]",Barnet Council,Notting Hill Genesis,Mae,,Exempt,Approved,estates/src/images/grahamepark4.jpg
,
Golf Links estate,ealing,500,"[51.517047,-0.357820]",Ealing Council,Hill,Levitt Bernstein,,Approved,Approved,estates/src/images/glinks3.jpg
,
Geoffrey Close (Lambeth) estate,lambeth,134,"[51.469493,-0.099011]",Riverside Homes,Bellway,PRP,Source Partnership,Approved,Approved,estates/src/images/cle3.jpg
,
Gascoigne estate,barkinganddagenham,179,"[51.533476,0.078037]",Barking and Dagenham Council,BeFirst,Levitt Bernstein,,Exempt,Approved,estates/src/images/Lor_gascoigne2.jpg
,
Friary Park estate,ealing,230,"[51.516962,-0.264300]",Peabody,Mount Anvil,Levitt Bernstein/Chapman Taylor,,Exempt,Approved,estates/src/images/fpark2.png
,
Fenwick estate,lambeth,431,"[51.464695,-0.127468]",Lambeth Council,,Karakusevic Carson,Christine Searle (Public Voice),Required,Pending,estates/src/images/fw7.jpg
,
Farnham and Hilldene estate,havering,117,"[51.607002,0.219207]",Havering Council,Wates,Collado Collins,TPAS,Approved,Pending,estates/src/images/farnham5.png
,
Excalibur estate,Lewisham,100,"[51.435624,-0.003185]",Lewisham Council,London and Quadrant,Hunters,Solon and PPCR,Exempt,Approved,estates/src/images/excalibur.jpg
,
Eros House,lewisham,60,"[51.445520, -0.018815]",District Homes (RSL),,,,,,estates/src/images/eroshouse.png
,
Elm Grove estate,sutton,73,"[51.366883,-0.193505,]",Sutton Council,Lovell,,PPCR,Approved,Approved,estates/src/images/eg3.png
,
Ebury Bridge estate,westminster,336,"[51.488945,-0.149611]",Westminster Council,Westminster Council,Astudio,Communities First,Exempt,Approved,estates/src/images/eb6.jpg
,
Eastfields estate,merton,446,"[51.407168,-0.149209]",Clarion,Clarion,Levitt Bernstein,,Exempt,Approved,estates/src/images/ef3.jpg
,
Douglas Bader Park estate,barnet,271,"[51.604697,-0.249247]",Home Group (Housing Association),Home/Hill Group,Levitt Bernstein,,Approved,Approved,estates/src/images/db3.png
,
Dollis Valley estate,barnet,363,"[51.644001,-0.197573]",Barnet Council,Countryside Properties,Alison Brooks,PPCR,Exempt,Approved,estates/src/images/dv24.jpg
,
Devons Road estate,towerhamlets,300,"[51.522289,-0.019264]",Poplar HARCA,,,,,,estates/src/images/devonsroad.png
,
Denby Court,lambeth,42,"[51.493660,-0.115040]",Lambeth Council,,,,Exempt,Approved,estates/src/images/denby1.png
,
Dell Court,havering,29,"[51.557480,0.225340]",Havering Council,Wates,,TPAS,Exempt,,estates/src/images/dell1.jpg
,
Dean Court,ealing,50,"[51.517792,-0.263030]",Housing Association?,,,,,,estates/src/images/deancourt.png
,
Custom House regeneration,newham,300,"[51.510722,0.021314]",Newham Council,Countryside,HTA,Newman Francis,Approved,Approved,estates/src/images/customhouse4.png
,
Cressingham Gardens estate,lambeth,306,"[51.446517,-0.111587]",Lambeth Council,,,Public Voice/PPCR,Required,Pending,estates/src/images/cressingham.jpg
,
Copley Close estate,ealing,333,"[51.520018,-0.330991]",LB Ealing,,,,,,estates/src/images/copleyclose.png
,
Convent Way estate,hounslow,440,"[51.494632,-0.393576]",Hounslow Council,,Bell Phillips,,Approved,Approved,estates/src/images/cv20.jpg
,
Concorde Close,hounslow,43,"[51.471914,-0.366567]",Home Group (RSL),,Farrells,,Exempt,,estates/src/images/cc3.png
,
Colville estate,hackney,200,"[51.536318,-0.083684]",Hackney Council,Higgins,Karakusevic Carson,PPCR,Exempt,Approved,estates/src/images/colville9.jpg
,
Collingwood estate,sutton,250,"[51.3691,-0.1988]",Sutton Council,,,,Required,,estates/src/images/cw3.jpg
,
Clockhouse estate,sutton,50,"[51.326066,-0.155669]",Sutton Council,,,,Exempt,,estates/src/images/clockhouse.png
,
Clichy estate,towerhamlets,100,"[51.516104,-0.048942]",LB Tower Hamlets,Countryside,PRP,PPCR,Approved,Approved,estates/src/images/clichyestate.jpg
,
Clare House,towerhamlets,129,"[51.536511,-0.030492]",Clarion Housing Association,Clarion,HTA,,Exempt,Pending,estates/src/images/clarehouse.jpg
,
Clapham Park estate,lambeth,864,"[51.449331,-0.133379]",Metropolitan TV Housing Association,,,,Exempt,Approved,estates/src/images/cpark1.png
,
Church Street Area,westminster,300,"[51.523316,-0.170681]",Westminster Council,Mount Anvil,Mae,PPCR,Approved,Approved,estates/src/images/cs.jpg
,
Lansbury estate,towerhamlets,169,"[51.512228,-0.0151769]",Poplar Harca,Telford Homes,Sheppard Robson,,Exempt,Approved,estates/src/images/fitzgeraldhouse.png
,
Chiswick Road estate,enfield,150,"[51.627168,-0.057194]",Enfield Council,,,,,,estates/src/images/chiswickroad.png
,
Chaucer Gardens estate,sutton,250,"[51.3705,-0.2008]",Sutton Council,,,,Required,Pending,estates/src/images/chaucer.jpg
,
Charlton House,hounslow,100,"[51.486105,-0.300195]",Hounslow Council,,,,Approved,Approved,estates/src/images/ch1.jpg
,
Central Hill estate,lambeth,476,"[51.420034,-0.085651]",Lambeth Council,,,PPCR,Required,,estates/src/images/centrallhill.jpg
,
Carpenters estate,newham,710,"[51.537846,-0.004882]",Newham Council,Populo (council-owned),Proctor and Matthews,TPAS/Source Partnership,Approved,approved,estates/src/images/cp12.jpg
,
Cambridge Road estate,kingston,820,"[51.408046,-0.287284]",RB Kingston,Countryside Properties,Patel Taylor,PPCR,Approved,Approved,estates/src/images/cambridge3.jpg
,
Calverley Close estate,bromley,150,"[51.419397,0.021422]",Riverside Housing Association,Countryside,HTA,Source Partnership,Approved,Pending,estates/src/images/cal4.png
,
Brookwood Road estate,hounslow,200,"[51.475927,-0.362360]",Hounslow Council,,,,Required,Pending,estates/src/images/bkwood7.jpg
,
Brook House,ealing,50,"[51.503540,-0.280070]",RSL,,,,,,estates/src/images/brookhouse.png
,
Brookhill Close estate,greenwich,80,"[51.483649,0.065543]",Hyde Housing Association,,,,Approved,Approved,estates/src/images/bhill2.png
,
Broadwater Farm estate,haringey,200,"[51.594340,-0.080927]",Haringey Council,,Karakusevic Carson,PPCR,Approved,Approved,estates/src/images/bwater3.jpg
,
Brabazon estate,hounslow,300,"[51.484513,-0.395689]",Hounslow Council,,,,Required,Pending,estates/src/images/bz5.jpg
,
Benhill estate,sutton,429,"[51.3673,-0.1901]",Sutton Council,,HTA,Communities First,Approved?,Pending,estates/src/images/bhs5.jpg
,
Barnsbury estate,islington,371,"[51.536269,-0.114844]",Newlon Housing Association,Mount Anvil,Pollard Thomas Edwards,Source Partnership,Approved,Approved,estates/src/images/barnsbury1.png
,
Barkantine estate,towerhamlets,72,"[51.498528,-0.024181]",One Housing Group,Mount Anvil,,Open Communities,Approved,Pending,estates/src/images/kedge.png
,
Aylesbury estate,southwark,2000,"[51.485789,-0.084806]",Southwark Council,Notting Hill Genesis,HTA,,Exempt,Approved,estates/src/images/aylesburywendover.jpg
,
Avondale Drive estate,hillingdon,144,"[51.510758,-0.406199]",Hillingdon Council,Higgins,Pollard Thomas Edwards,PPCR,Approved,Approved,estates/src/images/avondale3.png
,
Avenue Road estate,walthamforest,258,"[51.554350,-0.002466]",Waltham Forest Council,Bellway Homes,HTA,Newman Francis,Approved,Approved,estates/src/images/avenueroad.jpg
,
Austin Road estate,hillingdon,260,"[51.505778,-0.417528]",Hillingdon Council,Higgins,Pollard Thomas Edwards,Public Voice,Approved,Approved,estates/src/images/austin2.png
,
Alton estate,wandsworth,288,"[51.450221,-0.243483]",Wandsworth Council,,Hawkins Brown,,Required,,estates/src/images/altonthumblarge.jpg
,
Alma estate,enfield,746,"[51.643512,-0.036348]",Enfield Council,Countryside Properties,Pollard Thomas Edwards,PEP,Exempt,Approved by Enfield - Mayoral Approval pending,estates/src/images/alma2.png
,
Airways estate,ealing,150,"[51.536168,-0.370230]",Unknown RSL,,,,,,estates/src/images/airwaysestate.png
,
Achilles Street area,lewisham,87,"[51.476452,-0.035341]",Lewisham Council,Lewisham Homes,Levitt Bernstein,,Approved,Pending,estates/src/images/ach10.jpg
,
Aberfeldy estate (West),towerhamlets,225,"[51.512950,-0.004851]",Poplar HARCA,Ecoworld,Levitt Bernstein,PPCR,Approved,Approved,estates/src/images/af2.png

